t,V,Q
2.338E-5,1.83157823035227,2.80397092816185E-5
2.345E-5,1.82525813441108,2.80237730229825E-5
2.352E-5,1.82417028675055,2.80079201798659E-5
2.359E-5,1.81648967134034,2.79915459478414E-5
2.366E-5,1.81592691624038,2.79743003783591E-5
2.373E-5,1.81184630299841,2.79572448350618E-5
2.38E-5,1.81014006862616,2.79406991032594E-5
2.387E-5,1.80494942654123,2.79242831454371E-5
2.394E-5,1.80200102318277,2.79078532843208E-5
2.401E-5,1.79836863766623,2.78920097044076E-5
2.408E-5,1.79333987968649,2.78761823589749E-5
2.415E-5,1.79152920235147,2.78595902825058E-5
2.422E-5,1.78800965250203,2.78427571908501E-5
2.429E-5,1.78751249435091,2.78259982525713E-5
2.436E-5,1.78219510764548,2.78093389674754E-5
2.443E-5,1.77821617851233,2.77931964556015E-5
2.45E-5,1.77373158054043,2.77768152597278E-5
2.457E-5,1.77184175640078,2.77609021580396E-5
2.464E-5,1.7674810265723,2.77454386198857E-5
2.471E-5,1.7618447935508,2.77294073417908E-5
2.478E-5,1.75847310098262,2.77129589436567E-5
2.485E-5,1.75481301816554,2.76967932631633E-5
2.492E-5,1.75300797620522,2.76810447005869E-5
2.499E-5,1.74870744484152,2.76651292963614E-5
2.506E-5,1.74699293689419,2.76489659321994E-5
2.513E-5,1.7413901558045,2.76325801047238E-5
2.52E-5,1.74111291566597,2.76165418723293E-5
2.527E-5,1.73407550633211,2.7600661225808E-5
2.534E-5,1.73277049789404,2.75844515106128E-5
2.541E-5,1.7284781208161,2.75680656831372E-5
2.548E-5,1.72492811629282,2.75515083686166E-5
2.555E-5,1.7198447937678,2.75351549814529E-5
2.562E-5,1.71698968316351,2.75184400895477E-5
2.569E-5,1.71590471207829,2.75016973804439E-5
2.576E-5,1.71091192493414,2.74850659072412E-5
2.583E-5,1.7069523016523,2.74686638505906E-5
2.59E-5,1.70174223455043,2.74519049282279E-5
2.597E-5,1.69994282662602,2.74354124922087E-5
2.604E-5,1.69542225925917,2.74194414748074E-5
2.611E-5,1.69433441151133,2.74028076863344E-5
2.618E-5,1.68912974136557,2.7385439301416E-5
2.625E-5,1.68682190576302,2.73689329642251E-5
2.632E-5,1.68283746191965,2.73524382182409E-5
2.639E-5,1.67930412232609,2.73356120840682E-5
2.646E-5,1.67583074558725,2.73191868566759E-5
2.653E-5,1.6711484106033,2.73028774989085E-5
2.66E-5,1.66717224026953,2.72858937937176E-5
2.667E-5,1.66565846519162,2.72690977909528E-5
2.674E-5,1.6617867377624,2.72530804214572E-5
2.681E-5,1.6581487182245,2.72367478865816E-5
2.688E-5,1.65580755004858,2.72199611502035E-5
2.695E-5,1.65080924809236,2.7203403836744E-5
2.702E-5,1.6462229632286,2.71864687967957E-5
2.709E-5,1.64522588932387,2.71688061030298E-5
2.716E-5,1.6391090466329,2.7151356610435E-5
2.723E-5,1.63791123985512,2.71344122945501E-5
2.73E-5,1.63372894108553,2.71171505054425E-5
2.737E-5,1.63070654809208,2.70999026132623E-5
2.744E-5,1.62682390892379,2.7082993059326E-5
2.751E-5,1.62429327999208,2.70659560488022E-5
2.758E-5,1.619992627993,2.70490047871063E-5
2.765E-5,1.61636575856911,2.70318426384486E-5
2.772E-5,1.61207361996431,2.70147083048674E-5
2.779E-5,1.60843032131171,2.69980536577397E-5
2.786E-5,1.60558612381074,2.69815565901187E-5
2.793E-5,1.60036226837629,2.69647814502528E-5
2.8E-5,1.59854895146937,2.69476563862416E-5
2.807E-5,1.59364945707576,2.69306217037211E-5
2.814E-5,1.5927704965995,2.69137399563727E-5
2.821E-5,1.58645051988215,2.68966241608704E-5
2.828E-5,1.5859615159986,2.68794736002362E-5
2.835E-5,1.58127366618802,2.68625663647535E-5
2.842E-5,1.57763864249656,2.68457494990897E-5
2.849E-5,1.57268903123414,2.68292037821424E-5
2.856E-5,1.57183800508002,2.68128411190422E-5
2.863E-5,1.56798570135807,2.67963347776069E-5
2.87E-5,1.56441891133519,2.67796245109371E-5
2.877E-5,1.5591016438827,2.6763157574724E-5
2.884E-5,1.55613381681697,2.6746521476286E-5
2.891E-5,1.55217707018683,2.6729289815403E-5
2.898E-5,1.54866591303808,2.67115830869353E-5
2.905E-5,1.54765193442082,2.66941498065383E-5
2.912E-5,1.54316481748329,2.66771962200224E-5
2.919E-5,1.53961745112402,2.66602264096368E-5
2.926E-5,1.53284912758473,2.66431523325049E-5
2.933E-5,1.53185181523596,2.66262682730693E-5
2.94E-5,1.52707606824489,2.66089369653699E-5
2.947E-5,1.5249688463352,2.65909614257386E-5
2.954E-5,1.52116559240468,2.65739638204371E-5
2.961E-5,1.51639548080649,2.65577726518094E-5
2.968E-5,1.51355703652162,2.65406128279717E-5
2.975E-5,1.51154862214545,2.65233093194326E-5
2.982E-5,1.5085752803113,2.65073406141184E-5
2.989E-5,1.50255472479122,2.64913556923621E-5
2.996E-5,1.4999306825027,2.64724532201356E-5
3.003E-5,1.49779840290804,2.64528254125452E-5
3.01E-5,1.49341560830154,2.64364511730932E-5
3.017E-5,1.48934338781483,2.64229666754015E-5
3.024E-5,1.48868997952169,2.64090024710958E-5
3.031E-5,1.48338098560426,2.63930708387563E-5
3.038E-5,1.48351312578389,2.63750489459696E-5
3.045E-5,1.47842416782597,2.63557154323716E-5
3.052E-5,1.47703701826477,2.63368453802964E-5
3.059E-5,1.47057087455842,2.63185477305352E-5
3.066E-5,1.46784802338307,2.63006903704939E-5
3.073E-5,1.46170635998506,2.62839893808216E-5
3.08E-5,1.45888733803959,2.62677518537331E-5
3.087E-5,1.45652674750973,2.62506870376826E-5
3.094E-5,1.45257563625429,2.62328968883903E-5
3.101E-5,1.45065775721533,2.62136792444173E-5
3.108E-5,1.44371387907969,2.6193898491044E-5
3.115E-5,1.44147703597056,2.61750493146006E-5
3.122E-5,1.43824036155794,2.61580146225304E-5
3.129E-5,1.43520693758702,2.61417933150673E-5
3.136E-5,1.43224198852632,2.61248953449103E-5
3.143E-5,1.42891741693685,2.6108748190824E-5
3.15E-5,1.42583123802406,2.60951733084583E-5
3.157E-5,1.42205292256923,2.60794525598973E-5
3.164E-5,1.41911842812052,2.60590785625326E-5
3.171E-5,1.41487604866935,2.60368900680619E-5
3.178E-5,1.41242768020103,2.60165739970211E-5
3.185E-5,1.4071160467117,2.59989576521663E-5
3.192E-5,1.40346699485754,2.5983642435621E-5
3.199E-5,1.40073311269017,2.59689899795368E-5
3.206E-5,1.39799359648688,2.5953436071564E-5
3.213E-5,1.3924784728276,2.59361418379002E-5
3.22E-5,1.38945344298346,2.59169265113197E-5
3.227E-5,1.38453728231044,2.58968792641754E-5
3.234E-5,1.38306223541232,2.58771958285542E-5
3.241E-5,1.38040498106939,2.58585922829829E-5
3.248E-5,1.37266991902808,2.58414880680767E-5
3.255E-5,1.37197202931357,2.5825660709911E-5
3.262E-5,1.36645978221869,2.58097244427865E-5
3.269E-5,1.36607258299565,2.57923676342199E-5
3.276E-5,1.361882010691,2.57736273709797E-5
3.283E-5,1.35836246084155,2.57541084659817E-5
3.29E-5,1.35363012822719,2.57343346669081E-5
3.297E-5,1.35089073130594,2.5715193503254E-5
3.304E-5,1.34734060753336,2.56973268821314E-5
3.311E-5,1.34377945148818,2.56807023632283E-5
3.318E-5,1.33961657642586,2.56640384475917E-5
3.325E-5,1.33585756549811,2.56464823517587E-5
3.332E-5,1.33383260537604,2.56284975425574E-5
3.339E-5,1.32915866315098,2.56098592382208E-5
3.346E-5,1.32548467277748,2.55907922268825E-5
3.353E-5,1.32312959703059,2.5572202596277E-5
3.36E-5,1.31920078604681,2.55541830240661E-5
3.367E-5,1.31561732971541,2.5536277008332E-5
3.374E-5,1.31402393242543,2.55189781313947E-5
3.381E-5,1.3099599840186,2.5501602782627E-5
3.388E-5,1.30594496632849,2.54832425696347E-5
3.395E-5,1.30139764943825,2.54641245735392E-5
3.402E-5,1.29857587009402,2.54451085363473E-5
3.409E-5,1.29594091615373,2.54266301236046E-5
3.416E-5,1.29134084433982,2.54084599240644E-5
3.423E-5,1.2878757397245,2.53909246815806E-5
3.43E-5,1.28315455732601,2.53737787663423E-5
3.437E-5,1.28272406301195,2.53563779230738E-5
3.444E-5,1.27751663535101,2.5337934275463E-5
3.451E-5,1.27365605810856,2.53193006059114E-5
3.458E-5,1.26935828411452,2.53007132884541E-5
3.465E-5,1.26797928880634,2.52819591102482E-5
